imdb_id,title,year,genres,rating,votes,actors,directors,tags,score
tt1552211,The Last Days of American Crime,2020,"Action, Crime, Drama",3.8,12937.0,"Neels Clasen, Edgar Ramírez, Tony Caprari, Kate Normington, Iain Bruce",Olivier Megaton,action crime drama action crime drama action crime drama olivier megaton olivier megaton neels clasen edgar ramírez tony caprari kate normington iain bruce,5.8685821642623965
tt1552224,Outcast,2014,"Action, Adventure, Thriller",4.6,14931.0,"Nicolas Cage, Hayden Christensen, Alexandre Bailly, Bozhao Wang, Kahina Carina",Nick Powell,action adventure thriller action adventure thriller action adventure thriller nick powell nick powell nicolas cage hayden christensen alexandre bailly bozhao wang kahina carina,5.971717378915696
tt15523186,Warning,2021,Action,8.0,1361.0,"Gippy Grewal, Prince Kanwaljit Singh, Paramveer Singh, Chandan Gill, Harry Bhinder","Amar Hundal, Mahinder Singh",action action action amar hundal mahinder singh amar hundal mahinder singh gippy grewal prince kanwaljit singh paramveer singh chandan gill harry bhinder,6.345057001054074
tt15528002,Vinodhaya Sitham,2021,"Comedy, Drama",8.0,2339.0,"Sudharshan Gandhi, Munishkanth, Thambi Ramaiah, Sheriina Sam, Samuthirakani",Samuthirakani,comedy drama comedy drama comedy drama samuthirakani samuthirakani sudharshan gandhi munishkanth thambi ramaiah sheriina sam samuthirakani,6.3706540634712985
tt15528292,The Big 4,2022,"Action, Comedy, Crime",6.1,4504.0,"Abimana Aryasatya, Putri Marino, Lutesha, Arie Kriting, Kristo Immanuel",Timo Tjahjanto,action comedy crime action comedy crime action comedy crime timo tjahjanto timo tjahjanto abimana aryasatya putri marino lutesha arie kriting kristo immanuel,6.293737328224012
tt1553659,Breath,2017,"Adventure, Drama, Romance",6.7,4299.0,"Samson Coulter, Ben Spence, Simon Baker, Elizabeth Debicki, Richard Roxburgh",Simon Baker,adventure drama romance adventure drama romance adventure drama romance simon baker simon baker samson coulter ben spence simon baker elizabeth debicki richard roxburgh,6.333913213059568
tt15536668,Rheingold,2022,"Biography, Crime, Drama",6.7,3907.0,"Emilio Sakraya, Mona Pirzad, Kardo Razzazi, Ilyes Moutaoukkil, Sogol Faghani",Fatih Akin,biography crime drama biography crime drama biography crime drama fatih akin fatih akin emilio sakraya mona pirzad kardo razzazi ilyes moutaoukkil sogol faghani,6.331698588345846
tt1554091,A Better Life,2011,"Drama, Romance",7.2,17074.0,"Demián Bichir, José Julián, Eddie 'Piolin' Sotelo, Joaquín Cosio, Nancy Lenehan",Chris Weitz,drama romance drama romance drama romance chris weitz chris weitz demián bichir josé julián eddie 'piolin' sotelo joaquín cosio nancy lenehan,6.503393708827467
tt15541632,Kapata Nataka Sutradhari,2021,Thriller,4.2,2085.0,"Vijay Shankar, Sampath, Chandu, Sunitha, Ameeksha",Kranthi Saina,thriller thriller thriller kranthi saina kranthi saina vijay shankar sampath chandu sunitha ameeksha,6.2382752462336715
tt15545626,Zindagi Shatranj Hai,2023,Thriller,5.0,1114.0,"Bruna Abdullah, Shawar Ali, Ekta Jain, Rajkumar Kanojia, Arjumman Mughal",Dushyant Pratap Singh,thriller thriller thriller dushyant pratap singh dushyant pratap singh bruna abdullah shawar ali ekta jain rajkumar kanojia arjumman mughal,6.284566793684016
tt15546822,Mukundan Unni Associates,2022,"Comedy, Crime, Drama",7.9,7326.0,"Vineeth Sreenivasan, Suraj Venjaramoodu, Aarsha Chandini Baiju, Sudhi Koppa, Tanvi Ram",Abhinav Sunder Nayak,comedy crime drama comedy crime drama comedy crime drama abhinav sunder nayak abhinav sunder nayak vineeth sreenivasan suraj venjaramoodu aarsha chandini baiju sudhi koppa tanvi ram,6.479026063419533
tt15548032,Dangerous Liaisons,2022,"Drama, Romance",4.2,2708.0,"Paola Locatelli, Simon Rérolle, Ella Pellegrini, Héloïse Janjaud, Jin Xuan Mao",Rachel Suissa,drama romance drama romance drama romance rachel suissa rachel suissa paola locatelli simon rérolle ella pellegrini héloïse janjaud jin xuan mao,6.2183092008422856
tt15548074,The Sixth Secret,2022,"Comedy, Horror, Mystery",5.0,2102.0,"Triin Lellep, Gregory Defleur, Ben Walton-Jones, Eha Urbsalu, Max Marcq",Mart Sander,comedy horror mystery comedy horror mystery comedy horror mystery mart sander mart sander triin lellep gregory defleur ben walton-jones eha urbsalu max marcq,6.264419685143795
